city,party
Adana,AK Parti
Adıyaman,AK Parti
Afyonkarahisar,AK Parti
Ağrı,Yeşil Sol
Aksaray,AK Parti
Amasya,AK Parti
Ankara,AK Parti
Antalya,CHP
Ardahan,AK Parti
Artvin,AK Parti
Aydın,CHP
Balıkesir,AK Parti
Bartın,AK Parti
Batman,Yeşil Sol
Bayburt,AK Parti
Bilecik,AK Parti
Bingöl,AK Parti
Bitlis,Yeşil Sol
Bolu,AK Parti
Burdur,AK Parti
Bursa,AK Parti
Çanakkale,CHP
Çankırı,AK Parti
Çorum,AK Parti
Denizli,AK Parti
Diyarbakır,Yeşil Sol
Düzce,AK Parti
Edirne,CHP
Elazığ,AK Parti
Erzincan,AK Parti
Erzurum,AK Parti
Eskişehir,CHP
Gaziantep,AK Parti
Giresun,AK Parti
Gümüşhane,AK Parti
Hakkari,Yeşil Sol
Hatay,AK Parti
Iğdır,Yeşil Sol
Isparta,AK Parti
İstanbul,AK Parti
İzmir,CHP
Kahramanmaraş,AK Parti
Karabük,AK Parti
Karaman,AK Parti
Kars,Yeşil Sol
Kastamonu,AK Parti
Kayseri,AK Parti
Kırıkkale,AK Parti
Kırklareli,CHP
Kırşehir,AK Parti
Kilis,AK Parti
Kocaeli,AK Parti
Konya,AK Parti
Kütahya,AK Parti
Malatya,AK Parti
Manisa,AK Parti
Mardin,Yeşil Sol
Mersin,CHP
Muğla,CHP
Muş,Yeşil Sol
Nevşehir,AK Parti
Niğde,AK Parti
Ordu,AK Parti
Osmaniye,AK Parti
Rize,AK Parti
Sakarya,AK Parti
Samsun,AK Parti
Siirt,Yeşil Sol
Sinop,AK Parti
Sivas,AK Parti
Şanlıurfa,AK Parti
Şırnak,Yeşil Sol
Tekirdağ,CHP
Tokat,AK Parti
Trabzon,AK Parti
Tunceli,Yeşil Sol
Uşak,AK Parti
Van,Yeşil Sol
Yalova,AK Parti
Yozgat,AK Parti
Zonguldak,AK Parti
