Il,erkek,kadin
Adana,28.2,25.5
Adıyaman,28.2,25.2
Afyonkarahisar,26.7,24
Ağrı,26.9,22.7
Amasya,28.1,25.5
Ankara,28.6,26.4
Antalya,28.7,26
Artvin,30.6,27.6
Aydın,28.5,25.4
Balıkesir,28.2,25.5
Bilecik,28,25.4
Bingöl,29.2,26.5
Bitlis,27.7,23.9
Bolu,28.1,26
Burdur,27.7,24.8
Bursa,28.3,25.8
Çanakkale,28.9,25.8
Çankırı,27.3,24.6
Çorum,27.7,25
Denizli,28.2,25.3
Diyarbakır,27.8,25.1
Edirne,28.2,25.4
Elazığ,28.6,26.4
Erzincan,28.5,26.2
Erzurum,28.2,25
Eskişehir,28.8,26.6
Gaziantep,26.6,23.6
Giresun,28.9,26.2
Gümüşhane,28.6,25.8
Hakkari,28.9,26.5
Hatay,28.1,24.7
Isparta,28.1,25.3
Mersin,28.3,25.7
İstanbul,29.2,26.8
İzmir,29.1,26.6
Kars,28.2,23.9
Kastamonu,27.7,25.5
Kayseri,27.5,24.9
Kırklareli,29,26.2
Kırşehir,27.9,25.3
Kocaeli,28.5,25.9
Konya,26.7,24.3
Kütahya,27.5,25.1
Malatya,28.8,26.5
Manisa,27.6,24.9
Kahramanmaraş,27.1,24
Mardin,27.4,24.9
Muğla,29.3,26.3
Muş,27.4,23.2
Nevşehir,26.9,24.4
Niğde,26.6,23.6
Ordu,28,25.5
Rize,29.7,26.6
Sakarya,28.2,25.5
Samsun,28,25.7
Siirt,27,24.1
Sinop,28.3,25.6
Sivas,27.9,25.2
Tekirdağ,28,25.4
Tokat,27.6,25
Trabzon,29.5,26.9
Tunceli,32.3,29.7
Şanlıurfa,26.2,23.5
Uşak,27.5,24.8
Van,27.4,24.2
Yozgat,27,24.1
Zonguldak,28.3,26.1
Aksaray,26.5,23.9
Bayburt,28.6,25.4
Karaman,27.4,24.5
Kırıkkale,27.7,25.1
Batman,28,25.3
Şırnak,27.1,24.6
Bartın,27.9,25.2
Ardahan,28.4,24.5
Iğdır,28,24.2
Yalova,28.9,26.3
Karabük,28.5,26
Kilis,26.6,23.3
Osmaniye,27.5,24.8
Düzce,27.9,25.5
